category,title,url,source,date,article
politics,"남경필 ""기꺼이 조조될 것""..한국당 복당 시사",http://v.media.daum.net/v/20180113161437811,동아일보,2018.01.13,
politics,"이석현 ""최환, 박종철 열사 검시 고집..민주 역사, '인간 양심' 움직여 전진""",http://v.media.daum.net/v/20180113154642564,동아일보,2018.01.13,
politics,"남북, 15일 판문점 북측 통일각 '예술단 실무접촉'",http://v.media.daum.net/v/20180113204756066,국민일보,2018.01.13,
politics,"[뉴스+] 전운 감도는 국민의당..안철수, '직진'",http://v.media.daum.net/v/20180113220838557,세계일보,2018.01.13,
politics,"하태경 ""은행, '가상화폐 실명거래' 주저 말고 추진해야""",http://v.media.daum.net/v/20180113121147373,동아일보,2018.01.13,
politics,15일 통일각에서 남북 예술단 파견 실무접촉,http://v.media.daum.net/v/20180113201848778,국민일보,2018.01.13,
politics,'베이징 회군' 현송월 포함 눈길..15일 남북 후속회담 확정,http://v.media.daum.net/v/20180113212550295,세계일보,2018.01.13,
politics,"인천공항 2터미널 18일 개장.. 문재인 대통령 ""세계 허브로""",http://v.media.daum.net/v/20180113030233351,동아일보,2018.01.13,
politics,"이낙연 총리, 주말 현장 행보",http://v.media.daum.net/v/20180113200855641,국민일보,2018.01.13,
politics,"""내가 누군지 알아?""..허동준 민주당 당협위원장 음주측정 거부 논란",http://v.media.daum.net/v/20180113180157699,세계일보,2018.01.13,
politics,보유세 인상 '들먹' 신규공공택지 대기.. 분양가 상한제도 검토,http://v.media.daum.net/v/20180113030231348,동아일보,2018.01.13,
politics,"국민의당, 전당대회준비위원회 구성 다음날 회의..전당대회 준비 박차",http://v.media.daum.net/v/20180113183653930,국민일보,2018.01.13,
politics,"장제원, 뿔난 '썰전' 시청자 다룬 기사에..""별의별 기사 다 본다, 뺄 때까지 나간다"" 코웃음",http://v.media.daum.net/v/20180113171659374,세계일보,2018.01.13,
politics,"""억지로 눌러봐야 편법만 늘어"" ""비정상적 양극화 바로잡아야""",http://v.media.daum.net/v/20180113030231347,동아일보,2018.01.13,
politics,볼리비아에서 한국인 여성 시신 발견..칼 등 날카로운 것에 찔린 흔적,http://v.media.daum.net/v/20180113173853554,국민일보,2018.01.13,
politics,"남경필 ""조조되어 동탁 토벌"" 자유한국당 복당 초읽기..이재명 ""조조 아닌 여포"" 반박",http://v.media.daum.net/v/20180113162842954,세계일보,2018.01.13,
politics,"부처따라 대응수위 이견.. 법무부, 조율 안된채 불쑥 강경책",http://v.media.daum.net/v/20180113030228344,동아일보,2018.01.13,
politics,'여자 실세' '김정은 애인'..실무접촉 명단에 포함된 '현송월'은 누구?,http://v.media.daum.net/v/20180113171749380,국민일보,2018.01.13,
politics,"남북 후속회담, 15일 판문점에서 열릴 듯",http://v.media.daum.net/v/20180113160448718,세계일보,2018.01.13,
politics,관련법 발의 딱 1건.. 손놓은 국회,http://v.media.daum.net/v/20180113030227343,동아일보,2018.01.13,
politics,"국민의당 ""15일 실무접촉, 위장평화 회담 돼선 안 돼""",http://v.media.daum.net/v/20180113162352878,국민일보,2018.01.13,
